paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
als,1,version_31,0,stratified,24,42,2088,2088,0.5491461884000528,0.5594546835777514,0.5519817677368213,-0.007472915840930128
als,1,version_31,0,stratified,24,43,2088,2088,0.5584456335050866,0.5555373893513014,0.49794887039239005,-0.05758851895891132
als,1,version_31,0,stratified,24,44,2088,2088,0.5759215219976219,0.5331747919143875,0.5214295151274937,-0.011745276786893855
als,1,version_31,0,stratified,24,45,2088,2088,0.5626321178491214,0.5510998810939358,0.45216425551592015,-0.09893562557801566
als,1,version_31,0,stratified,24,46,2088,2088,0.577979257497688,0.5348592944906857,0.4923908376271635,-0.042468456863522186
als,1,version_31,0,stratified,48,42,2076,2076,0.5561395302215243,0.5529536569882054,0.5332236292559056,-0.019730027732299815
als,1,version_31,0,stratified,48,43,2076,2076,0.5518761067860604,0.5641468141267666,0.4614888569614755,-0.10265795716529108
als,1,version_31,0,stratified,48,44,2076,2076,0.5686675131143707,0.5403905910655217,0.5228574292492232,-0.017533161816298493
als,1,version_31,0,stratified,48,45,2076,2076,0.5501553677035651,0.5667696882622206,0.4620869390891777,-0.10468274917304293
als,1,version_31,0,stratified,48,46,2076,2076,0.5634100705001838,0.54526044973103,0.5292943299141302,-0.015966119816899882
als,1,version_31,0,stratified,96,42,2052,2052,0.5358554768988748,0.5718101296125304,0.5403765261105982,-0.03143360350193225
als,1,version_31,0,stratified,96,43,2052,2052,0.5576998050682263,0.5592148011353921,0.4715519305085325,-0.08766287062685962
als,1,version_31,0,stratified,96,44,2052,2052,0.5597517184774803,0.5477343456106153,0.5224599021921275,-0.025274443418487835
als,1,version_31,0,stratified,96,45,2052,2052,0.5681303648986012,0.5474094593208166,0.49949557128689165,-0.04791388803392499
als,1,version_31,0,stratified,96,46,2052,2052,0.5442700318046578,0.5640162785130467,0.545030949693923,-0.018985328819123737
als,1,version_31,0,stratified,240,42,1980,1980,0.5500624426078972,0.56144536271809,0.5180422405876951,-0.04340312213039488
als,1,version_31,0,stratified,240,43,1980,1980,0.5580128558310377,0.5498512396694215,0.5384609733700643,-0.011390266299357243
als,1,version_31,0,stratified,240,44,1980,1980,0.5579283746556473,0.5453627180899908,0.513267217630854,-0.03209550045913678
als,1,version_31,0,stratified,240,45,1980,1980,0.5407364554637282,0.5750798898071625,0.5019375573921029,-0.07314233241505963
als,1,version_31,0,stratified,240,46,1980,1980,0.5456730945821855,0.5572359963269053,0.539722681359045,-0.01751331496786035
als,1,version_31,0,stratified,480,42,1860,1860,0.5367845993756504,0.5716441207075963,0.5428262226847034,-0.028817898022892918
als,1,version_31,0,stratified,480,43,1860,1860,0.536197710718002,0.5682851196670136,0.5476888657648282,-0.020596253902185335
als,1,version_31,0,stratified,480,44,1860,1860,0.5461768990634756,0.5531404786680542,0.5372382934443288,-0.01590218522372533
als,1,version_31,0,stratified,480,45,1860,1860,0.5544807492195629,0.5622060353798127,0.5081103017689905,-0.054095733610822205
als,1,version_31,0,stratified,480,46,1860,1860,0.5599979188345473,0.5411612903225806,0.5378772112382935,-0.0032840790842871836
