paradigm,subject,fold,permute_k,split,calib_size,seed,n_half_a,n_half_b,baseline_a,baseline_b,adapted_b,delta_b
mi,99,version_27,0,stratified,10,42,112,112,0.7890124705089315,0.7462082912032355,0.46983485001685205,-0.27637344118638346
mi,99,version_27,0,stratified,10,43,112,112,0.7499157398045164,0.7243006403774856,0.692618806875632,-0.03168183350185361
mi,99,version_27,0,stratified,10,44,112,112,0.7114930906639704,0.7721604314122009,0.6784630940343782,-0.09369733737782271
mi,99,version_27,0,stratified,10,45,112,112,0.7387933940006741,0.7212672733400741,0.6781260532524436,-0.04314122008763055
mi,99,version_27,0,stratified,10,46,112,112,0.8004718570947085,0.675092686215032,0.6929558476575666,0.017863161442534525
mi,99,version_27,0,stratified,50,42,92,92,0.8100198412698413,0.7634085213032581,0.5979949874686716,-0.16541353383458646
mi,99,version_27,0,stratified,50,43,92,92,0.6879960317460317,0.7288220551378447,0.6761904761904762,-0.052631578947368474
mi,99,version_27,0,stratified,50,44,92,92,0.7425595238095238,0.775438596491228,0.6696741854636592,-0.10576441102756884
mi,99,version_27,0,stratified,50,45,92,92,0.7098214285714286,0.7979949874686717,0.7418546365914787,-0.056140350877193046
mi,99,version_27,0,stratified,50,46,92,92,0.7961309523809524,0.7388471177944862,0.7353383458646616,-0.0035087719298245723
mi,99,version_27,0,stratified,100,42,67,67,0.7720450281425892,0.7861163227016886,0.7101313320825516,-0.075984990619137
mi,99,version_27,0,stratified,100,43,67,67,0.7166979362101313,0.7101313320825516,0.6810506566604128,-0.02908067542213888
mi,99,version_27,0,stratified,100,44,67,67,0.7654784240150094,0.7223264540337712,0.6923076923076924,-0.030018761726078758
mi,99,version_27,0,stratified,100,45,67,67,0.8067542213883677,0.7514071294559099,0.7213883677298312,-0.030018761726078758
mi,99,version_27,0,stratified,100,46,67,67,0.7279549718574109,0.874296435272045,0.7298311444652907,-0.1444652908067543
mi,99,version_27,0,stratified,200,42,17,17,0.6857142857142857,0.9696969696969697,0.9696969696969696,-1.1102230246251565e-16
mi,99,version_27,0,stratified,200,43,17,17,0.6428571428571429,0.6818181818181818,0.712121212121212,0.030303030303030276
mi,99,version_27,0,stratified,200,44,17,17,0.8285714285714285,0.5909090909090909,0.4393939393939394,-0.15151515151515155
mi,99,version_27,0,stratified,200,45,17,17,0.7727272727272727,0.842857142857143,0.7857142857142857,-0.05714285714285727
mi,99,version_27,0,stratified,200,46,17,17,0.7424242424242424,0.8571428571428571,0.7999999999999999,-0.05714285714285716
mi,99,version_27,2,stratified,10,42,112,112,0.7849679811257162,0.7559824738793394,0.5662285136501517,-0.18975396022918767
mi,99,version_27,2,stratified,10,43,112,112,0.7280080889787665,0.7553083923154701,0.7195820694304009,-0.03572632288506916
mi,99,version_27,2,stratified,10,44,112,112,0.7125042130097742,0.7839568587799124,0.6993596225143242,-0.08459723626558824
mi,99,version_27,2,stratified,10,45,112,112,0.7296932928884395,0.734411863835524,0.6929558476575666,-0.041456016177957467
mi,99,version_27,2,stratified,10,46,112,112,0.7890124705089315,0.6848668688911358,0.6932928884395012,0.008426019548365415
mi,99,version_27,2,stratified,50,42,92,92,0.7916666666666666,0.78796992481203,0.625062656641604,-0.162907268170426
mi,99,version_27,2,stratified,50,43,92,92,0.7038690476190476,0.7197994987468672,0.6751879699248121,-0.0446115288220551
mi,99,version_27,2,stratified,50,44,92,92,0.7807539682539683,0.7488721804511278,0.6987468671679199,-0.050125313283207906
mi,99,version_27,2,stratified,50,45,92,92,0.6879960317460317,0.8125313283208021,0.7448621553884711,-0.06766917293233099
mi,99,version_27,2,stratified,50,46,92,92,0.7911706349206349,0.7398496240601503,0.6666666666666666,-0.07318295739348368
mi,99,version_27,2,stratified,100,42,67,67,0.8011257035647279,0.7570356472795498,0.7307692307692307,-0.026266416510319024
mi,99,version_27,2,stratified,100,43,67,67,0.75046904315197,0.6876172607879925,0.6838649155722327,-0.0037523452157597337
mi,99,version_27,2,stratified,100,44,67,67,0.800187617260788,0.7373358348968105,0.7570356472795499,0.019699812382739323
mi,99,version_27,2,stratified,100,45,67,67,0.8302063789868668,0.6801125703564728,0.6726078799249532,-0.007504690431519578
mi,99,version_27,2,stratified,100,46,67,67,0.7204502814258913,0.8536585365853658,0.7429643527204502,-0.11069418386491559
mi,99,version_27,2,stratified,200,42,17,17,0.6857142857142856,0.9393939393939394,0.8636363636363636,-0.0757575757575758
mi,99,version_27,2,stratified,200,43,17,17,0.49999999999999994,0.7878787878787878,0.6818181818181818,-0.10606060606060608
mi,99,version_27,2,stratified,200,44,17,17,0.7857142857142857,0.6515151515151515,0.6363636363636364,-0.015151515151515138
mi,99,version_27,2,stratified,200,45,17,17,0.7575757575757576,0.8285714285714286,0.7857142857142857,-0.04285714285714293
mi,99,version_27,2,stratified,200,46,17,17,0.696969696969697,0.7857142857142857,0.7571428571428571,-0.02857142857142858
